day,n_readings,avg_hr,min_hr,max_hr,stddev_hr,pct_sedentary,pct_active,pct_unset
2020-01-17,76,77.6,58,98,12.6,31.6,27.6,40.8
2020-01-18,96,76.0,58,98,11.9,36.5,29.2,34.4
2020-01-19,96,78.0,59,98,10.2,33.3,28.1,38.5
2020-01-20,96,80.1,58,98,11.8,34.4,31.3,34.4
2020-01-21,96,77.5,58,98,10.7,32.3,29.2,38.5
2020-01-22,96,78.3,58,98,12.5,34.4,31.3,34.4
2020-01-23,96,76.7,58,97,11.1,39.6,30.2,30.2
2020-01-24,96,77.3,58,98,11.3,29.2,38.5,32.3
2020-01-25,96,77.8,58,98,10.9,36.5,28.1,35.4
2020-01-26,96,77.2,58,98,11.4,29.2,32.3,38.5
2020-01-27,60,79.4,58,98,12.5,48.3,28.3,23.3
